3,10001,13640,1
3,20001,20688,1
3,5203,1,1
2,1,1,1
2,1,5933,1
3,10001,10001,1
1,10001,12388,1
1,2327,1,1
3,1,1,1
3,10001,10001,1
1,10576,10001,1
2,1,4177,1
3,20001,29307,1
3,19083,10001,1
2,10001,10001,1
1,1,4724,1
1,10001,10929,1
1,1,2332,1
2,9781,1,1
2,20001,21718,1
1,20916,20001,1
2,26216,20001,1
1,12876,10001,1
1,10001,13992,1
3,12468,10001,1
1,10001,12585,1
1,15282,10001,1
2,7113,1,1
1,20001,26132,1
3,1,5688,1
3,3683,1,1
1,10001,16037,1
2,20001,21910,1
2,10001,10001,1
2,20001,20001,1
3,1,1,1
1,10663,10001,1
1,20001,20001,1
1,10001,10001,1
3,6968,1,1
1,10001,10001,1
1,6905,1,1
1,20001,26901,1
1,10001,13555,1
1,10001,19736,1
1,10001,10001,1
2,1,1,1
1,13324,10001,1
1,10001,15911,1
1,20001,21368,1
2,20001,26960,1
2,1,814,1
3,20001,21738,1
2,20001,20001,1
2,20001,20776,1
2,20001,20001,1
3,17562,10001,1
1,18495,10001,1
3,15197,10001,1
3,1,1,1
1,20001,22503,1
3,3256,1,1
3,10001,10001,1
2,20001,21135,1
2,20001,23406,1
3,26816,20001,1
2,10001,16311,1
3,8385,1,1
1,6076,1,1
3,20001,20001,1
3,20001,22493,1
1,16175,10001,1
1,10001,16357,1
3,8017,1,1
1,2950,1,1
3,20611,20001,1
3,10001,10001,1
3,10001,10001,1
1,23491,20001,1
3,22033,20001,1
3,10001,10001,1
3,1,1,1
2,20001,20001,1
3,10001,10001,1
3,20503,20001,1
1,29540,20001,1
1,1,1,1
2,20001,20001,1
3,20001,21123,1
1,1,7500,1
2,20001,20001,1
2,20001,20001,1
2,20001,20001,1
1,1,1,1
3,1,6552,1
3,11729,10001,1
1,20001,20001,1
2,1,5265,1
1,15205,10001,1
2,10001,19145,1
2,10001,12757,1
3,10001,10001,1
2,28935,20001,1
2,2735,1,1
3,11694,10001,1
1,4284,1,1
3,20001,23839,1
2,1,1882,1
1,10001,18396,1
1,1,1,1
3,1,1,1
1,1,8072,1
2,1,1,1
1,20001,29952,1
1,25437,20001,1
3,10001,10001,1
2,1,1,1
3,12527,10001,1
2,20001,28758,1
3,27070,20001,1
1,20001,20001,1
3,10001,10001,1
2,2052,1,1
3,19423,10001,1
1,1,9391,1
2,10001,11086,1
1,20001,20001,1
2,10001,10001,1
2,20001,28464,1
3,10001,10001,1
3,1,1,1
1,10001,10001,1
3,16525,10001,1
3,16522,10001,1
3,2542,1,1
1,1,1,1
2,24877,20001,1
